id_director,name_director,id_film
7879,John Lasseter,862
4945,Joe Johnston,8844
26502,Howard Deutch,15602
2178,Forest Whitaker,31357
56106,Charles Shyer,11862
638,Michael Mann,949
2226,Sydney Pollack,11860
18357,Peter Hewitt,45325
37710,Peter Hyams,9091
10702,Martin Campbell,710
3026,Rob Reiner,9087
14639,Mel Brooks,12110
21879,Simon Wells,21032
1152,Oliver Stone,10858
16938,Renny Harlin,1408
1032,Martin Scorsese,524
1614,Ang Lee,4584
3110,Allison Anders,5
4489,Steve Oedekerk,9273
52629,Joseph Ruben,11517
5174,Barry Sonnenfeld,8012
15148,Jon Amiel,1710
7187,Richard Donner,9691
56349,Victor Salva,12665
6111,Mike Figgis,451
56710,Oliver Parker,16420
15798,Lesli Linka Glatter,9263
7017,Roger Michell,17015
2419,Jean-Pierre Jeunet,902
607,Zhang Yimou,37557
60295,John N. Smith,9909
280,Terry Gilliam,63
2352,Jean-Jacques Annaud,78802
58137,Chris Noonan,9598
12952,Christopher Hampton,47018
504,Tim Robbins,687
77867,Stephen Low,139405
17167,Andy Tennant,33689
57434,Amy Heckerling,9603
16730,Darrell James Roodt,34615
33315,Richard Loncraine,31174
11447,Albert Hughes,11443
52405,Michael Hoffman,35196
4014,Paul W.S. Anderson,9312
5216,Gus Van Sant,577
3047,Jocelyn Moorhouse,11861
7467,David Fincher,807
65530,Mike Gabriel,10530
55439,Patricia Rozema,8391
9032,Bryan Singer,629
100505,Richard W. Munchkin,117164
1243,Woody Allen,11448
128107,Gianni Amelio,49133
71338,Holly Goldberg Sloan,26441
140354,Ulu Grosbard,97406
30586,Robert Tinnell,124057
1038,Jodie Foster,9089
28898,Michael Radford,11010
38527,Robert Lepage,99040
7908,Frank Oz,11359
19304,John Schlesinger,17182
18356,Stephen Herek,2054
45649,Paris Barclay,10607
49361,Bill Bennett,19760
57870,Jason Bloom,9536
69721,Farhad Mann,11525
15890,James Foley,40628
35137,Josiane Balasko,4482
37932,F. Gary Gray,10634
2294,Robert Rodriguez,755
70850,Andrew Sipes,11859
5656,Noah Baumbach,28387
16862,Claude Lelouch,48750
10296,Michael Goldenberg,20927
58712,Steve Miner,36929
25735,Christian Duguay,9102
1080309,Susanne Ofteringer,124626
2228,Sean Penn,27526
18069,Brian Gibson,9623
120229,Jafar Panahi,46785
5501,Gary Fleder,400
13496,Marleen Gorris,880
27771,Tim Reid,146599
117075,Henry Jaglom,188588
55038,Philip Haas,8447
578,Ridley Scott,10534
29009,Ken Kwapis,17414
58448,Penelope Spheeris,13997
12840,John Badham,2086
72624,John Duigan,61548
3224,Stephen Frears,9095
5140,Wes Craven,12158
34849,Ted Demme,9283
11401,John Woo,9208
11181,Kenneth Branagh,40154
2406,Mathieu Kassovitz,406
4014,Paul W.S. Anderson,45549
92561,Nick Broomfield,63076
23213,Harold Becker,11062
5655,Wes Anderson,13685
14692,Nick Castle,47475
21053,John Dahl,2045
17494,Dennis Dugan,9614
190,Clint Eastwood,688
18969,Doris Dörrie,11907
65298,Brian Henson,10874
64077,Robert Leacock,89333
1234226,James Bruce,96357
2461,Mel Gibson,197
1032,Martin Scorsese,103
44916,Stanley Tong,33542
23393,Barbet Schroeder,43566
184475,Mort Ransen,71754
20849,Étienne Chatiliez,43612
82293,Jon Blair,51352
81020,Benjamin Ross,16934
68185,Eric Schaeffer,10324
12989,Andrew Davis,78406
36147,Charles T. Kanganis,55731
60295,John N. Smith,32119
68215,Reginald Hudlin,11066
12453,Wong Kar-wai,11104
65314,Giuseppe Tornatore,37975
17883,David O. Russell,2074
16589,Peter MacDonald,27793
239321,Moufida Tlatli,44284
93632,Michel Negroponte,290157
122583,Bryan Gordon,110972
41670,Rebecca Miller,32622
125543,Michael Lindsay-Hogg,73067
15175,William Friedkin,11863
114997,Ángel Muñiz,55475
84445,Craig Baldwin,124636
12920,David S. Ward,9101
1077999,Mark Rappaport,123360
45382,Dirk Shafer,5757
93911,Terence Davies,39428
1080311,Sandip Ray,124639
18250,Jon Avnet,9302
5342,Mike Nichols,11000
1285121,Jakov Sedlar,249882
12833,Edward Burns,16388
865,Michael Bay,9737
56828,Christopher Cain,30765
65390,Scott Kalvert,10474
10723,Mike Newell,22279
91343,Hal Hartley,30157
6159,Ron Howard,568
30365,Michael Caton-Jones,11780
39104,Abel Ferrara,34996
5572,Joel Schumacher,414
793,Luis Buñuel,649
19665,John Boorman,1873
46391,Paul Auster,5894
17087,Michael Moore,1775
11887,Brad Silberling,8839
5281,Spike Lee,20649
664,Frank Marshall,10329
893,Tony Scott,8963
17447,Terry Zwigoff,26564
2294,Robert Rodriguez,8068
21712,Carl Franklin,8512
1090,John McTiernan,1572
19224,Gregg Araki,13552
68774,Christopher Menaul,259209
3415,Jerry Zucker,6520
56998,Dwight H. Little,9073
1978,Iain Softley,10428
252806,Christopher Ashley,17447
59997,Robert Longo,9886
33279,Danny Cannon,9482
58316,John Fortenberry,19326
51917,Larry Clark,9344
6400,Tom DiCillo,9071
31211,Clive Barker,8973
38516,Denys Arcand,15730
42617,Antonia Bird,47608
19303,Kevin Smith,2293
42111,Bryan Spicer,9070
44847,David Anspaugh,68274
58384,Anthony Waller,48787
54469,Michael Almereyda,34574
11472,Irwin Winkler,1642
10965,Chris Columbus,11472
56714,Daisy von Scherler Mayer,36196
28902,Gregory Widen,11980
26487,Norman René,58372
16863,Todd Haynes,32646
8965,Roland Joffé,10533
10491,Paul Verhoeven,10802
39819,Wayne Wang,10149
5306,Lasse Hallström,18402
21370,Roger Donaldson,9348
408,James Keach,139408
14392,Kathryn Bigelow,281
24882,Jacques Demy,5967
17880,Wesley Strick,79593
63713,Martha Coolidge,47939
1128,Agnieszka Holland,36834
20237,Beeban Kidron,9090
32277,Geoff Murphy,3512
3092,Diane Keaton,52856
588623,Douglas Keeve,77350
22767,Alfonso Aráu,9560
8300,Kevin Reynolds,9804
73494,Desmond Nakano,31611
1723,Walter Hill,65796
6111,Mike Figgis,49805
17309,Greg Beeman,26258
82796,Nikita Mikhalkov,50797
1364800,Milčo Mančevski,19155
564,Richard Linklater,76
57691,Tamra Davis,11017
43468,Guy Ferland,37141
18378,Herbert Ross,9382
44990,Peter Horton,6715
27991,Stuart Gordon,18256
19969,Pat O'Connor,22625
19303,Kevin Smith,2292
25210,Jeremy Leven,1909
8246,Barry Levinson,8984
225065,René Bonnière,61813
12840,John Badham,4954
58154,Jack Baran,62488
3556,Roman Polanski,10531
18596,Taylor Hackford,11929
7396,Peter Farrelly,8467
1614,Ang Lee,10451
56205,Atom Egoyan,20156
1201,Garry Marshall,18395
510,Tim Burton,522
8844,Lawrence Kasdan,397
7904,Billy Crystal,10525
148119,Phillip Borsos,27985
15775,Kevin Lima,15789
57090,Brett Leonard,27303
87695,Carlo Carlei,21183
67794,Gérard Corbiau,10954
1566166,Mark Lewis,47867
129534,Art Clokey,43475
97755,Charles Burnett,72031
122449,Steve James,14275
108,Peter Jackson,1024
77121,Randall Miller,17207
57851,Bernard Rose,13701
32593,Steven Brill,14819
1203,J. F. Lawton,32631
64061,Fred Schepisi,11777
17016,Neil Jordan,628
54441,James Ivory,87729
73668,James Melkonian,18713
8858,Ivan Reitman,6280
56872,Arne Glimcher,9061
62043,Michael Gottlieb,37108
23393,Barbet Schroeder,6071
1,George Lucas,11
58094,Gillian Armstrong,9587
11218,Alfonso Cuarón,19101
15488,Ken Loach,49980
19069,Claude Chabrol,17961
22767,Alfonso Aráu,18183
9181,Edward Zwick,4476
14692,Nick Castle,11008
20561,James Gray,47504
3110,Allison Anders,32325
58463,Glenn Gordon Caron,43742
15912,Stephen Gyllenhaal,28313
55476,Nicholas Hytner,11318
11181,Kenneth Branagh,3036
27444,James Orr,40490
9248,Nora Ephron,24070
24318,Richard Benjamin,8986
56911,Les Mayfield,10510
5065,David Frankel,17402
16395,Gregory Nava,38722
54971,Marc Rocco,8438
6729,Robert Benton,11593
10781,Michael Apted,1945
17278,Nick Gomez,39310
129957,Tōru Murakawa,109560
70905,Vadim Jean,56428
63937,Albert Pyun,63105
131792,Alan Jacobs,131957
1152,Oliver Stone,241
13563,Norman Jewison,9058
7256,Lee Tamahori,527
2873,Anne Goursaud,18220
5231,Wolfgang Petersen,6950
59,Luc Besson,101
6495,Mira Nair,63020
23757,Joshua Brand,2307
138,Quentin Tarantino,680
16214,Mario Van Peebles,41478
1614,Ang Lee,25296
42617,Antonia Bird,40156
4135,Robert Redford,11450
994323,Kayo Hatta,30304
23724,Patrice Chéreau,10452
7623,Sam Raimi,12106
12804,Peter Yates,161495
9789,Robert Altman,3586
1126,Krzysztof Kieślowski,110
1126,Krzysztof Kieślowski,108
1126,Krzysztof Kieślowski,109
77305,He Ping,159185
45642,Fred Gerber,36357
133793,George Mihalka,92769
1524,Harold Ramis,28033
107274,Richard Rich,22586
102445,John Sayles,14334
26648,Luis Llosa,2636
6046,Roland Emmerich,2164
58072,John Pasquin,11395
4027,Frank Darabont,278
